id,idioma,nivel
id_tec_1014,,
id_tec_1015,,
id_tec_1016,,
id_tec_1017,Inglés,Alto
id_tec_1018,,
id_tec_1019,,
id_tec_1020,,
id_tec_1021,,
id_tec_1022,,
id_tec_1023,,
id_tec_1024,,
id_tec_1025,,
id_tec_1026,,
id_tec_1027,,
id_tec_1028,,
id_tec_1029,,
id_tec_1030,,
id_tec_1031,,
id_tec_1032,,
id_tec_1033,,
id_tec_1034,,
id_tec_1035,,
id_tec_1036,,
id_tec_1037,,
id_tec_1038,,
id_tec_1039,,
id_tec_1040,,
id_tec_1041,,
id_tec_1042,,
id_tec_1043,,
id_tec_1044,,
id_tec_1045,,
id_tec_1046,,
id_tec_1047,,
id_tec_1048,,
id_tec_1049,,
id_tec_1050,,
id_tec_1051,,
id_tec_1052,,
id_tec_1053,Inglés,Alto
id_tec_1054,,
id_tec_1055,,
id_tec_1056,,
id_tec_1057,,
id_tec_1058,,
id_tec_1059,,
id_tec_1060,,
id_tec_1061,,
id_tec_1062,,
id_tec_1063,,
id_tec_1064,,
id_tec_1065,,
id_tec_1066,,
id_tec_1067,,
id_tec_1068,,
id_tec_1069,,
id_tec_1070,,
id_tec_1071,,
id_tec_1072,,
id_tec_1073,,
id_tec_1074,,
id_tec_1075,,
id_tec_1076,,
id_tec_1077,,
id_tec_1078,,
id_tec_1079,,
id_tec_1080,,
id_tec_1081,,
id_tec_1082,,
id_tec_1083,,
id_tec_1084,,
id_tec_1085,,
id_tec_1086,,
id_tec_1087,,
id_tec_1088,,
id_tec_1089,,
id_tec_1090,,
id_tec_1091,,
id_tec_1092,,
id_tec_1093,,
id_tec_1094,,
id_tec_1095,,
id_tec_1096,,
id_tec_1097,,
id_tec_1098,,
id_tec_1099,,
id_tec_1100,,
id_tec_1101,,
id_tec_1102,,
id_tec_1103,,
id_tec_1104,,
id_tec_1105,,
id_tec_1106,,
id_tec_1107,,
id_tec_1108,,
id_tec_1109,,
id_tec_1110,,
id_tec_1111,,
id_tec_1112,,
id_tec_1113,,
id_tec_1114,,
id_tec_1115,,
id_tec_1116,,
id_tec_1117,,
id_tec_1118,,
id_tec_1119,,
id_tec_1120,,
id_tec_1121,,
id_tec_1122,,
id_tec_1123,,
id_tec_1124,,
id_tec_1125,,
id_tec_1126,,
id_tec_1127,,
id_tec_1128,,
id_tec_1129,,
id_tec_1130,,
id_tec_1131,,
id_tec_1132,,
id_tec_1133,,
id_tec_1134,,
id_tec_1135,,
id_tec_1136,,
id_tec_1137,,
id_tec_1138,,
id_tec_1139,,
id_tec_1140,,
id_tec_1141,,
id_tec_1142,,
id_tec_1143,,
id_tec_1144,,
id_tec_1145,,
id_tec_1146,,
id_tec_1147,,
id_tec_1148,,
id_tec_1149,,
id_tec_1150,,
id_tec_1151,,
id_tec_1152,,
id_tec_1153,Inglés,Alto
id_tec_1154,Español,Alto
id_tec_1155,,
id_tec_1156,,
id_tec_1157,,
id_tec_1158,,
id_tec_1159,,
id_tec_1160,,
id_tec_1161,,
id_tec_1162,,
id_tec_1163,,
id_tec_1164,,
id_tec_1165,,
id_tec_1166,,
id_tec_1167,,
id_tec_1168,,
id_tec_1169,,
id_tec_1170,,
id_tec_1171,,
id_tec_1172,,
id_tec_1173,,
id_tec_1174,,
id_tec_1175,,
id_tec_1176,,
id_tec_1177,Inglés,Alto
id_tec_1178,,
id_tec_1179,,
id_tec_1180,,
id_tec_1181,,
id_tec_1182,Inglés,Alto
id_tec_1183,,
id_tec_1184,,
id_tec_1185,,
id_tec_1186,,
id_tec_1187,Inglés,Medio
id_tec_1188,Inglés,Alto
id_tec_1189,,
id_tec_1190,,
id_tec_1191,,
id_tec_1192,Inglés,Alto
id_tec_1193,,
id_tec_1194,,
id_tec_1195,Inglés,Excelente
id_tec_1196,Inglés,Alto
id_tec_1197,,
id_tec_1198,,
id_tec_1199,Inglés,Alto
id_tec_1200,Inglés,Alto
id_tec_1200,Español,Alto
id_tec_1201,Inglés,Medio
id_tec_1202,,
id_tec_1203,Inglés,Alto
id_tec_1204,,
id_tec_1205,,
id_tec_1206,,
id_tec_1207,,
id_tec_1208,,
id_tec_1209,,
id_tec_1210,,
id_tec_1211,,
id_tec_1212,,
id_tec_1213,,
id_tec_1214,,
id_tec_1215,,
id_tec_1216,,
id_tec_1217,,
id_tec_1218,,
id_tec_1219,,
id_tec_1220,,
id_tec_1221,,
id_tec_1222,,
id_tec_1223,,
id_tec_1224,,
id_tec_1225,,
id_tec_1226,,
id_tec_1227,,
id_tec_1228,,
id_tec_1229,,
id_tec_1230,,
id_tec_1231,,
id_tec_1232,,
id_tec_1233,,
id_tec_1234,,
id_tec_1235,,
id_tec_1236,,
id_tec_1237,,
id_tec_1238,,
id_tec_1239,,
id_tec_1240,,
id_tec_1241,,
id_tec_1242,,
id_tec_1243,,
id_tec_1244,,
id_tec_1245,,
id_tec_1246,,
id_tec_1247,,
id_tec_1248,,
id_tec_1249,,
id_tec_1250,,
id_tec_1251,,
id_tec_1252,,
id_tec_1253,,
id_tec_1254,,
id_tec_1255,,
id_tec_1256,,
id_tec_1257,,
id_tec_1258,,
id_tec_1259,,
id_tec_1260,,
id_tec_1261,,
id_tec_1262,,
id_tec_1263,,
id_tec_1264,,
id_tec_1265,,
id_tec_1266,,
id_tec_1267,,
id_tec_1268,,
id_tec_1269,,
id_tec_1270,,
id_tec_1271,,
id_tec_1272,,
id_tec_1273,,
id_tec_1274,,
id_tec_1275,,
id_tec_1276,,
id_tec_1277,,
id_tec_1278,,
id_tec_1279,,
id_tec_1280,,
id_tec_1281,,
id_tec_1282,,
id_tec_1283,,
id_tec_1284,,
id_tec_1285,,
id_tec_1286,,
id_tec_1287,,
id_tec_1288,,
id_tec_1289,,
id_tec_1290,,
id_tec_1291,,
id_tec_1292,,
id_tec_1293,,
id_tec_1294,,
id_tec_1295,,
id_tec_1296,,
id_tec_1297,,
id_tec_1298,,
id_tec_1299,,
id_tec_1300,,
id_tec_1301,,
id_tec_1302,,
id_tec_1303,,
id_tec_1304,,
id_tec_1305,,
id_tec_1306,,
id_tec_1307,,
id_tec_1308,,
id_tec_1309,,
id_tec_1310,,
id_tec_1311,,
id_tec_1312,,
id_tec_1313,,
id_tec_1314,,
