id,tec_id
id_man_802,23
id_man_804,23
id_man_805,23
id_man_806,23
id_man_807,23
id_man_812,23
id_man_814,23
id_man_815,23
id_man_816,23
id_man_820,23
id_man_827,23
id_man_829,23
id_man_831,23
id_man_835,23
id_man_837,23
id_man_839,23
id_man_840,23
id_man_849,23
id_man_857,23
id_man_858,23
id_man_859,23
id_man_869,23
id_man_873,23
id_man_880,23
id_man_889,23
id_man_899,23
id_man_900,23
id_man_903,23
id_man_908,23
id_man_915,23
id_man_916,23
id_man_917,23
id_man_918,23
id_man_920,23
id_man_921,23
id_man_926,23
id_man_939,23
id_man_944,23
id_man_948,23
id_man_949,23
id_man_952,23
id_man_953,23
id_man_960,23
id_man_961,23
id_man_962,23
id_man_963,23
id_man_966,23
id_man_967,23
id_man_969,23
id_man_976,23
id_man_979,23
id_man_981,23
id_man_994,23
id_man_996,23
id_man_1006,23
id_man_1007,23
id_man_1010,23
id_man_1011,23
id_man_1014,23
id_man_1016,23
id_man_1017,23
id_man_1018,23
id_man_1026,23
id_man_1027,23
id_man_1031,23
id_man_1037,23
id_man_1039,23
id_man_1041,23
id_man_1043,23
id_man_1044,23
id_man_1046,23
id_man_1047,23
id_man_1049,23
id_man_1054,23
id_man_1055,23
id_man_1056,23
id_man_1058,23
id_man_1060,23
id_man_1061,23
id_man_1064,23
id_man_1067,23
id_man_1068,23
id_man_1069,23
id_man_1070,23
id_man_1071,23
id_man_1073,23
id_man_1075,23
id_man_1077,23
id_man_1078,23
id_man_1085,23
id_man_1093,23
id_man_1096,23
id_man_1102,23
id_man_1110,23
id_man_1114,23
id_man_1117,23
id_man_1121,23
id_man_1124,23
id_man_1127,23
id_man_1134,23
id_man_1141,23
id_man_1143,23
id_man_1144,23
id_man_1145,23
id_man_1149,23
id_man_1152,23
id_man_1155,23
id_man_1163,23
id_man_1171,23
id_man_1177,23
id_man_1179,23
id_man_1181,23
id_man_1190,23
id_man_1206,23
id_man_7,24
id_man_10,24
id_man_35,24
id_man_47,24
id_man_60,24
id_man_98,24
id_man_105,24
id_man_108,24
id_man_142,24
id_man_157,24
id_man_177,24
id_man_185,24
id_man_211,24
id_man_228,24
id_man_232,24
id_man_242,24
id_man_320,24
id_man_345,24
id_man_351,24
id_man_355,24
id_man_360,24
id_man_394,24
id_man_400,24
id_man_413,24
id_man_414,24
id_man_420,24
id_man_436,24
id_man_509,24
id_man_513,24
id_man_536,24
id_man_634,24
id_man_674,24
id_man_699,24
id_man_756,24
id_man_803,24
id_man_908,24
id_man_916,24
id_man_917,24
id_man_926,24
id_man_970,24
id_man_1014,24
id_man_1071,24
id_man_1079,24
id_man_1134,24
id_man_1177,24
id_man_1224,24
id_man_7,25
id_man_30,25
id_man_633,25
id_man_7,26
id_man_7,27
id_man_20,27
id_man_28,27
id_man_34,27
id_man_35,27
id_man_39,27
id_man_41,27
id_man_51,27
id_man_55,27
id_man_61,27
id_man_65,27
id_man_73,27
id_man_74,27
id_man_80,27
id_man_83,27
id_man_90,27
id_man_92,27
id_man_100,27
id_man_101,27
id_man_102,27
id_man_103,27
id_man_112,27
id_man_113,27
id_man_116,27
id_man_119,27
id_man_129,27
id_man_131,27
id_man_136,27
id_man_143,27
id_man_145,27
id_man_146,27
id_man_148,27
id_man_152,27
id_man_162,27
id_man_166,27
id_man_174,27
id_man_178,27
id_man_182,27
id_man_191,27
id_man_193,27
